Date,Radius,Location,Query,TotalResults
7/19/2015,25,"Columbus, OH",C# mvc,82
7/19/2015,50,"Columbus, OH",C# mvc,83
7/19/2015,25,"Columbus, OH",C# mvc angular,4
7/19/2015,50,"Columbus, OH",C# mvc angular,4
7/19/2015,25,"Columbus, OH",angular,69
7/19/2015,50,"Columbus, OH",angular,76
7/19/2015,25,"Columbus, OH",scala,8
7/19/2015,50,"Columbus, OH",scala,8
7/19/2015,25,"Columbus, OH",python,128
7/19/2015,50,"Columbus, OH",python,135
7/19/2015,25,"Columbus, OH",C++,93
7/19/2015,50,"Columbus, OH",C++,99
7/19/2015,25,"Columbus, OH",java,664
7/19/2015,50,"Columbus, OH",java,688
7/19/2015,25,"Columbus, OH",machine learning,53
7/19/2015,50,"Columbus, OH",machine learning,58
7/19/2015,25,"Richmond, VA",C#,141
7/19/2015,50,"Richmond, VA",C#,153
7/19/2015,25,"Richmond, VA",C# mvc,54
7/19/2015,50,"Richmond, VA",C# mvc,57
7/19/2015,25,"Richmond, VA",C# mvc angular,10
7/19/2015,50,"Richmond, VA",C# mvc angular,11
7/19/2015,25,"Richmond, VA",angular,43
7/19/2015,50,"Richmond, VA",angular,46
7/19/2015,25,"Richmond, VA",scala,1
7/19/2015,50,"Richmond, VA",scala,1
7/19/2015,25,"Richmond, VA",python,32
7/19/2015,50,"Richmond, VA",python,38
7/19/2015,25,"Richmond, VA",C++,42
7/19/2015,50,"Richmond, VA",C++,48
7/19/2015,25,"Richmond, VA",java,199
7/19/2015,50,"Richmond, VA",java,207
7/19/2015,25,"Richmond, VA",machine learning,31
7/19/2015,50,"Richmond, VA",machine learning,42
7/19/2015,25,"Phoenix, AZ",C#,515
7/19/2015,50,"Phoenix, AZ",C#,516
7/19/2015,25,"Phoenix, AZ",C# mvc,151
7/19/2015,50,"Phoenix, AZ",C# mvc,151
7/19/2015,25,"Phoenix, AZ",C# mvc angular,14
7/19/2015,50,"Phoenix, AZ",C# mvc angular,14
7/19/2015,25,"Phoenix, AZ",angular,88
7/19/2015,50,"Phoenix, AZ",angular,88
7/19/2015,25,"Phoenix, AZ",scala,24
7/19/2015,50,"Phoenix, AZ",scala,24
7/19/2015,25,"Phoenix, AZ",python,271
7/19/2015,50,"Phoenix, AZ",python,272
7/19/2015,25,"Phoenix, AZ",C++,314
7/19/2015,50,"Phoenix, AZ",C++,315
7/19/2015,25,"Phoenix, AZ",java,924
7/19/2015,50,"Phoenix, AZ",java,928
7/19/2015,25,"Phoenix, AZ",machine learning,128
7/19/2015,50,"Phoenix, AZ",machine learning,134
7/19/2015,25,"Birmingham, AL",C#,83
7/19/2015,50,"Birmingham, AL",C#,85
7/19/2015,25,"Birmingham, AL",C# mvc,30
7/19/2015,50,"Birmingham, AL",C# mvc,30
7/19/2015,25,"Birmingham, AL",C# mvc angular,3
7/19/2015,50,"Birmingham, AL",C# mvc angular,3
7/19/2015,25,"Birmingham, AL",angular,15
7/19/2015,50,"Birmingham, AL",angular,15
7/19/2015,25,"Birmingham, AL",scala,1
7/19/2015,50,"Birmingham, AL",scala,1
7/19/2015,25,"Birmingham, AL",python,7
7/19/2015,50,"Birmingham, AL",python,8
7/19/2015,25,"Birmingham, AL",C++,23
7/19/2015,50,"Birmingham, AL",C++,26
7/19/2015,25,"Birmingham, AL",java,116
7/19/2015,50,"Birmingham, AL",java,120
7/19/2015,25,"Birmingham, AL",machine learning,13
7/19/2015,50,"Birmingham, AL",machine learning,30
7/19/2015,25,"Kansas City, MO",C#,500
7/19/2015,50,"Kansas City, MO",C#,592
7/19/2015,25,"Kansas City, MO",C# mvc,200
7/19/2015,50,"Kansas City, MO",C# mvc,244
7/19/2015,25,"Kansas City, MO",C# mvc angular,25
7/19/2015,50,"Kansas City, MO",C# mvc angular,25
7/19/2015,25,"Kansas City, MO",angular,62
7/19/2015,50,"Kansas City, MO",angular,63
7/19/2015,25,"Kansas City, MO",scala,11
7/19/2015,50,"Kansas City, MO",scala,11
7/19/2015,25,"Kansas City, MO",python,120
7/19/2015,50,"Kansas City, MO",python,126
7/19/2015,25,"Kansas City, MO",C++,127
7/19/2015,50,"Kansas City, MO",C++,131
7/19/2015,25,"Kansas City, MO",java,429
7/19/2015,50,"Kansas City, MO",java,447
7/19/2015,25,"Kansas City, MO",machine learning,40
7/19/2015,50,"Kansas City, MO",machine learning,49
7/19/2015,25,"Houston, TX",C#,490
7/19/2015,50,"Houston, TX",C#,524
7/19/2015,25,"Houston, TX",C# mvc,111
7/19/2015,50,"Houston, TX",C# mvc,117
7/19/2015,25,"Houston, TX",C# mvc angular,15
7/19/2015,50,"Houston, TX",C# mvc angular,15
7/19/2015,25,"Houston, TX",angular,55
7/19/2015,50,"Houston, TX",angular,60
7/19/2015,25,"Houston, TX",scala,14
7/19/2015,50,"Houston, TX",scala,14
7/19/2015,25,"Houston, TX",python,225
7/19/2015,50,"Houston, TX",python,234
7/19/2015,25,"Houston, TX",C++,289
7/19/2015,50,"Houston, TX",C++,301
7/19/2015,25,"Houston, TX",java,519
7/19/2015,50,"Houston, TX",java,552
7/19/2015,25,"Houston, TX",machine learning,106
7/19/2015,50,"Houston, TX",machine learning,121
7/19/2015,25,"Jacksonville, FL",C#,106
7/19/2015,50,"Jacksonville, FL",C#,108
7/19/2015,25,"Jacksonville, FL",C# mvc,30
7/19/2015,50,"Jacksonville, FL",C# mvc,30
7/19/2015,25,"Jacksonville, FL",C# mvc angular,4
7/19/2015,50,"Jacksonville, FL",C# mvc angular,4
7/19/2015,25,"Jacksonville, FL",angular,24
7/19/2015,50,"Jacksonville, FL",angular,25
7/19/2015,25,"Jacksonville, FL",scala,0
7/19/2015,50,"Jacksonville, FL",scala,0
7/19/2015,25,"Jacksonville, FL",python,42
7/19/2015,50,"Jacksonville, FL",python,42
7/19/2015,25,"Jacksonville, FL",C++,22
7/19/2015,50,"Jacksonville, FL",C++,24
7/19/2015,25,"Jacksonville, FL",java,138
7/19/2015,50,"Jacksonville, FL",java,139
7/19/2015,25,"Jacksonville, FL",machine learning,30
7/19/2015,50,"Jacksonville, FL",machine learning,31
7/19/2015,25,"Orlando, FL",C#,210
7/19/2015,50,"Orlando, FL",C#,230
7/19/2015,25,"Orlando, FL",C# mvc,76
7/19/2015,50,"Orlando, FL",C# mvc,84
7/19/2015,25,"Orlando, FL",C# mvc angular,13
7/19/2015,50,"Orlando, FL",C# mvc angular,14
7/19/2015,25,"Orlando, FL",angular,52
7/19/2015,50,"Orlando, FL",angular,53
7/19/2015,25,"Orlando, FL",scala,6
7/19/2015,50,"Orlando, FL",scala,6
7/19/2015,25,"Orlando, FL",python,119
7/19/2015,50,"Orlando, FL",python,123
7/19/2015,25,"Orlando, FL",C++,179
7/19/2015,50,"Orlando, FL",C++,195
7/19/2015,25,"Orlando, FL",java,406
7/19/2015,50,"Orlando, FL",java,421
7/19/2015,25,"Orlando, FL",machine learning,82
7/19/2015,50,"Orlando, FL",machine learning,100
7/19/2015,25,"Dallas, TX",C#,1004
7/19/2015,50,"Dallas, TX",C#,1206
7/19/2015,25,"Dallas, TX",C# mvc,292
7/19/2015,50,"Dallas, TX",C# mvc,346
7/19/2015,25,"Dallas, TX",C# mvc angular,22
7/19/2015,50,"Dallas, TX",C# mvc angular,32
7/19/2015,25,"Dallas, TX",angular,210
7/19/2015,50,"Dallas, TX",angular,251
7/19/2015,25,"Dallas, TX",scala,53
7/19/2015,50,"Dallas, TX",scala,54
7/19/2015,25,"Dallas, TX",python,600
7/19/2015,50,"Dallas, TX",python,657
7/19/2015,25,"Dallas, TX",C++,615
7/19/2015,50,"Dallas, TX",C++,715
7/19/2015,25,"Dallas, TX",java,1952
7/19/2015,50,"Dallas, TX",java,2216
7/19/2015,25,"Dallas, TX",machine learning,156
7/19/2015,50,"Dallas, TX",machine learning,192
7/19/2015,25,"Charlotte, NC",C#,368
7/19/2015,50,"Charlotte, NC",C#,465
7/19/2015,25,"Charlotte, NC",C# mvc,134
7/19/2015,50,"Charlotte, NC",C# mvc,222
7/19/2015,25,"Charlotte, NC",C# mvc angular,70
7/19/2015,50,"Charlotte, NC",C# mvc angular,155
7/19/2015,25,"Charlotte, NC",angular,153
7/19/2015,50,"Charlotte, NC",angular,242
7/19/2015,25,"Charlotte, NC",scala,5
7/19/2015,50,"Charlotte, NC",scala,5
7/19/2015,25,"Charlotte, NC",python,158
7/19/2015,50,"Charlotte, NC",python,159
7/19/2015,25,"Charlotte, NC",C++,133
7/19/2015,50,"Charlotte, NC",C++,139
7/19/2015,25,"Charlotte, NC",java,731
7/19/2015,50,"Charlotte, NC",java,747
7/19/2015,25,"Charlotte, NC",machine learning,60
7/19/2015,50,"Charlotte, NC",machine learning,76
7/19/2015,25,"Indianapolis, IN",C#,236
7/19/2015,50,"Indianapolis, IN",C#,254
7/19/2015,25,"Indianapolis, IN",C# mvc,50
7/19/2015,50,"Indianapolis, IN",C# mvc,51
7/19/2015,25,"Indianapolis, IN",C# mvc angular,3
7/19/2015,50,"Indianapolis, IN",C# mvc angular,3
7/19/2015,25,"Indianapolis, IN",angular,31
7/19/2015,50,"Indianapolis, IN",angular,34
7/19/2015,25,"Indianapolis, IN",scala,13
7/19/2015,50,"Indianapolis, IN",scala,18
7/19/2015,25,"Indianapolis, IN",python,80
7/19/2015,50,"Indianapolis, IN",python,95
7/19/2015,25,"Indianapolis, IN",C++,78
7/19/2015,50,"Indianapolis, IN",C++,101
7/19/2015,25,"Indianapolis, IN",java,283
